epoch,loss_total,loss_rgb_identity,loss_class_adversarial,loss_structure,loss_physics,loss_angle,loss_discriminator,loss_discriminator_real_class,loss_discriminator_fake_class,loss_discriminator_wrong_condition,rgb_identity_accuracy,fake_target_class_accuracy,real_class_accuracy,fake_rejection_accuracy,angle_near_delta,angle_far_delta,angle_far_to_near,speckle_strength
1,19.00227331161499,3.9192079524993897,3.5322953987121584,0.030723335973918436,2.482407328605652,5.968111121035236e-08,1.158360935330391,0.08055497181415558,1.723078735589981,0.8650663866996765,0.166125,0.08925,0.991625,0.613125,0.00010201802935972366,0.00018504796707208106,1.8138751378894729,0.0
2,10.865365341186523,1.19942987036705,4.933518798828125,0.015937511555850506,1.145787228345871,1.2775119603247732e-07,0.3153035808801651,0.0653809212744236,0.059682329058647156,0.8803259809017181,0.735625,0.002125,0.993375,0.992875,0.00014587974597123407,0.0002967695796137883,2.0343439566470596,0.0
3,8.277955114364625,0.3929964947104454,5.31839567565918,0.0086225228831172,0.7072770889997483,9.72253177451421e-08,0.34278423261642454,0.08124127727746963,0.08218194158375264,0.8818079395294189,0.976125,0.01075,0.983,0.97675,0.00010616316585727627,0.00021024243832225837,1.98037084354572,0.0
4,8.383970401763916,0.25836545950174333,4.520334926605225,0.007710347777232528,1.1002141451835632,7.593309464937193e-08,0.4652178872823715,0.1557008892893791,0.17575757913291454,0.8865528392791748,0.99775,0.042875,0.958375,0.932125,8.715847266897087e-05,0.00021942548956426362,2.51754629062449,0.0
5,6.975022186279297,0.21869647139310835,2.230106598854065,0.006896163539960981,1.4220485558509828,7.961141864143429e-08,0.9676712466478348,0.4162842103838921,0.6649553294181824,0.8756374933719635,0.9995,0.284,0.858,0.675125,9.047637216835505e-05,0.00023646905670859038,2.613600115050785,0.0
6,5.440889245986939,0.1957344769835472,1.2072472147941589,0.006507674871012568,1.2677090139389038,8.389935101149604e-08,1.2643847246170044,0.5620721852779389,0.9652362661361694,0.8787776272296905,0.999875,0.494625,0.793,0.47975,9.540809569732537e-05,0.00024155939796141217,2.531854306449426,0.0
7,5.05851229095459,0.18724527263641358,0.9457629432678223,0.006439761355519295,1.2332067532539368,7.988261177160893e-08,1.3518667628765106,0.6128462666273117,1.046324299812317,0.8634333798885345,0.9991875,0.554625,0.75775,0.4375,8.865494913022433e-05,0.0001781964748506508,2.010000305667085,0.0
8,5.23040007019043,0.18087705898284911,0.9189498100280762,0.006622444806620479,1.3033204898834228,7.521779605212942e-08,1.3738824698925018,0.6521572215557099,1.0094886448383331,0.8679236974716187,0.9999375,0.538375,0.747625,0.435375,8.339525314994038e-05,0.00015196557127175822,1.8222328673615504,0.0
9,4.678916842460632,0.17865084266662598,1.0747771244049071,0.006643857153132558,1.0689916272163391,8.076397273271141e-08,1.3335610656738281,0.6086958531141281,1.0185080082416536,0.862444839477539,0.9999375,0.4975,0.772125,0.483375,8.958024767390083e-05,0.00014460070930894406,1.6142030532817273,0.06400000303983688
10,4.483975667953491,0.1761717746257782,1.0820614805221558,0.006627529175952077,1.0032684876918794,8.227954515405145e-08,1.2720872004032135,0.5784885489940643,0.9583848021030426,0.8576250002384186,0.999875,0.477875,0.778125,0.503125,9.059954142671019e-05,0.00012812090276311788,1.4141451573103194,0.12800000607967377
11,4.451958333015442,0.17468622547388077,1.0851204719543457,0.006547729466110468,0.9927263453006744,8.359772004951083e-08,1.2562702043056488,0.5892867412567139,0.9016056165695191,0.8647226240634919,0.999875,0.451,0.779125,0.518375,9.146598370982305e-05,0.00012856850674050667,1.405642857878092,0.19200000166893005
12,4.636680323600769,0.17315300017595292,1.1336415138244629,0.006582325931638479,1.039079621553421,8.293297423733747e-08,1.233351265668869,0.5773720172643662,0.8829994909763336,0.8579180011749268,1.0,0.43075,0.78625,0.537375,9.055165130467642e-05,0.00011867376798320384,1.3105643715309596,0.25600001215934753
