run_epoch,epoch,loss_total,loss_rgb_identity,loss_cross_view,loss_sar_class,loss_cluster,loss_structure,loss_statistics,loss_physics,loss_perceptual,loss_angle,loss_adversarial,loss_feature_match,contribution_rgb_identity,contribution_cross_view,contribution_sar_class,contribution_cluster,contribution_structure,contribution_statistics,contribution_physics,contribution_perceptual,contribution_angle,contribution_adversarial,contribution_feature_match,loss_discriminator,loss_discriminator_wrong_azimuth,rgb_identity_accuracy,native_fake_accuracy,cluster_cosine,speckle_strength,validation_samples,validation_generated_identity,validation_real_identity,validation_generated_depression,validation_real_depression,validation_generated_azimuth_mae,validation_real_azimuth_mae,validation_pair_30_error,validation_feature_cosine,validation_aligned_lowpass_l1,validation_response_lowpass_l1_30
1,71,16.791692581176758,0.17370246720314025,0.012285585403442384,0.21362329173088074,0.28652319526672365,0.5794067120552063,0.11456957334280014,0.5555538725852966,0.0,0.019473920807242393,-0.2614029170423746,0.015024968311190606,1.7370246744155884,0.024571170806884767,0.21362329173088074,1.4326159782409669,11.588134216308594,0.5728478682041168,1.6666616172790527,0.0,0.0038947842344641687,-0.5228058340847492,0.07512484177947044,2.376399514198303,0.0,1.0,0.99525,0.7134768047332763,0.32,640.0,0.9875,1.0,0.496875,0.9875,47.70356502532959,4.6779321193695065,51.29440402984619,0.48772344589233396,0.1446375422179699,0.105474853515625
2,72,17.92697489929199,0.17000860571861268,0.011126473426818847,0.2021241192817688,0.2653263487815857,0.5865817005634308,0.11113909578323364,0.562296676158905,0.0,0.02029514445364475,0.31753728435188533,0.01250535973906517,1.7000860528945922,0.022252946853637694,0.2021241192817688,1.3266317415237427,11.731634002685547,0.5556954779624939,1.686890027999878,0.0,0.004059028962627053,0.6350745687037707,0.06252679842710494,1.8054981508255006,0.0,1.0,0.99725,0.7346736512184143,0.32,640.0,0.996875,1.0,0.5171875,0.9875,46.04498443603516,4.6779321193695065,46.62226676940918,0.4964496374130249,0.14319953098893165,0.107000732421875
3,73,17.787729415893555,0.1697575818300247,0.010961499691009522,0.19965227937698365,0.25786039543151856,0.5873253793716431,0.10832263606786728,0.5587702209949493,0.0,0.021072964563965797,0.274415851265192,0.012359742641448974,1.6975758209228515,0.021922999382019043,0.19965227937698365,1.2893019752502441,11.746507591247559,0.5416131801605225,1.6763106632232665,0.0,0.00421459298953414,0.548831702530384,0.061798713058233264,1.7861105041503906,0.0,1.0,0.997,0.7421396045684815,0.32,640.0,0.9875,1.0,0.51875,0.9875,45.15756978988647,4.6779321193695065,48.9118839263916,0.4996019959449768,0.14484465569257737,0.109576416015625
4,74,18.002744262695312,0.16945577526092528,0.010642405033111573,0.20220160043239593,0.25915553331375124,0.5917316255569458,0.1069125764966011,0.5723499472141266,0.0,0.020917856499552728,0.3184758164808154,0.012308360368013383,1.6945577487945556,0.021284810066223146,0.20220160043239593,1.2957776689529419,11.83463249206543,0.5345628836154938,1.7170498390197755,0.0,0.004183571390807629,0.6369516329616308,0.061541801810264585,1.783663028717041,0.0,1.0,0.9975,0.7408444666862488,0.32,640.0,0.9875,1.0,0.5234375,0.9875,43.61631050109863,4.6779321193695065,47.32798080444336,0.5025847762823105,0.14105817638337612,0.1020355224609375
5,75,17.863744911193848,0.16946967995166778,0.010880414009094239,0.2012252289056778,0.25487953281402587,0.5934911439418793,0.10771200358867646,0.5552129592895508,0.0,0.021376945450901984,0.2654343164265156,0.012499704159796237,1.6946968002319336,0.021760828018188478,0.2012252289056778,1.2743976640701293,11.86982292175293,0.5385600166320801,1.6656388788223266,0.0,0.004275389170274139,0.5308686328530312,0.062498520761728286,1.7598243045806885,0.0,1.0,0.99625,0.7451204671859741,0.32,640.0,0.98125,1.0,0.521875,0.9875,40.63881196975708,4.6779321193695065,47.18962440490723,0.5025090560317039,0.1418671950697899,0.102789306640625
6,76,17.97440222167969,0.16932427167892455,0.010646864414215088,0.19955392718315124,0.2520493168830872,0.5911985020637512,0.10602513414621353,0.5664501667022706,0.0,0.021552638500928877,0.3398260216116905,0.012531301774084567,1.693242712020874,0.021293728828430177,0.19955392718315124,1.2602465867996215,11.823970039367676,0.530125670671463,1.6993504991531372,0.0,0.00431052777543664,0.679652043223381,0.06265650913119317,1.757845627784729,0.0,1.0,0.998,0.7479506831169128,0.32,640.0,0.99375,1.0,0.5453125,0.9875,42.87262191772461,4.6779321193695065,47.705084037780765,0.5073647186160087,0.14360671862959862,0.10521240234375
7,77,18.235626190185545,0.1692302770614624,0.010513373374938965,0.19835028743743896,0.2502121887207031,0.5957296156883239,0.10776588529348373,0.567415813446045,0.0,0.0215638023018837,0.425239100843668,0.012485065914690495,1.6923027687072754,0.02102674674987793,0.19835028743743896,1.2510609455108643,11.914592330932617,0.5388294281959534,1.7022474441528321,0.0,0.004312760546803475,0.850478201687336,0.06242532959580421,1.7449653816223145,0.0,1.0,0.99775,0.7497878112792968,0.32,640.0,0.99375,1.0,0.5203125,0.9875,39.958492851257326,4.6779321193695065,44.38211994171142,0.5105474948883056,0.14793996512889862,0.1183135986328125
8,78,17.9128939743042,0.16913479697704314,0.01055675220489502,0.20270229041576385,0.2520919823646545,0.5915766742229461,0.10863197606801987,0.5638869485855103,0.0,0.02164757977426052,0.3011336295232177,0.01286386202275753,1.6913479738235473,0.02111350440979004,0.20270229041576385,1.26045991230011,11.83153345489502,0.5431598801612854,1.6916608486175537,0.0,0.004329516036435962,0.6022672590464354,0.06431931021809578,1.6911159238815308,0.0,1.0,0.9965,0.7479080176353454,0.32,640.0,0.9890625,1.0,0.546875,0.9875,40.4972846031189,4.6779321193695065,46.9155460357666,0.5120039269328117,0.14792659506201744,0.1199310302734375
9,79,17.79685848236084,0.1690686674118042,0.010418196201324463,0.20125665986537933,0.24723770475387574,0.5889692730903625,0.11043263322114945,0.5679193961620331,0.0,0.02159944471716881,0.27135901299119,0.013109137021005154,1.6906866779327392,0.020836392402648927,0.20125665986537933,1.2361885232925416,11.779385482788086,0.5521631655693054,1.7037581844329834,0.0,0.004319889048114419,0.54271802598238,0.06554568499326706,1.7105080108642579,0.0,1.0,0.9975,0.7527622952461243,0.32,640.0,0.990625,1.0,0.54375,0.9875,40.45016565322876,4.6779321193695065,45.75051050186157,0.516155144572258,0.14583211839199067,0.1181793212890625
10,80,17.799009979248048,0.169009246468544,0.010304093837738037,0.198166029214859,0.24545932292938233,0.5871475796699523,0.10724239999055862,0.5731030027866364,0.0,0.022120047718286514,0.29795524407923224,0.012807895228266716,1.6900924701690674,0.020608187675476074,0.198166029214859,1.227296615600586,11.742951614379884,0.5362119996547698,1.7193090085983276,0.0,0.004424009623005986,0.5959104881584645,0.06403947624564171,1.7150217895507813,0.0,1.0,0.998,0.7545406770706177,0.32,640.0,0.9984375,1.0,0.59375,0.9875,40.92814750671387,4.6779321193695065,46.42169075012207,0.5160462945699692,0.1441403616219759,0.1172821044921875
